route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"546022","0","546022_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic)",,"1",,"546022_volta"
"546055","0","546055_ida_0_0","Santo Andre (Cata Preta)",,"0",,"546055_ida"
"546055","0","546055_volta_0_0","Sao Caetano do Sul (Terminal Rodoviario Nicolau Delic)",,"1",,"546055_volta"
"546059","0","546059_volta_0_0","Diadema (Eldorado)",,"1",,"546059_volta"
"546059","0","546059_ida_0_0","Sao Bernardo do Campo (Baeta Neves)",,"0",,"546059_ida"
"546165","0","546165_ida_0_0","Sao Paulo (Terminal Rodoviario Tiete)",,"0",,"546165_ida"
"546165","0","546165_volta_0_0","Sao Bernardo do Campo (Conjunto Terra Nova II)",,"1",,"546165_volta"
"546221","0","546221_ida_0_0","SAO PAULO (JD TIETE)   -   RUA NAZARENO OPOSTO Nº 75",,"0",,"546221_ida"
"546221","0","546221_volta_0_0","SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE)",,"1",,"546221_volta"
"546244","0","546244_ida_0_0","Sao Bernardo do Campo (Shopping Metropole)",,"0",,"546244_ida"
"546244","0","546244_volta_0_0","Sao Paulo (Terminal Metropolitano Sao Mateus)",,"1",,"546244_volta"
"546273","0","546273_ida_0_0","Sao Paulo (Terminal Sacoma)",,"0",,"546273_ida"
"546273","0","546273_volta_0_0","Diadema (Terminal Metropolitano Piraporinha)",,"1",,"546273_volta"
"546279","0","546279_ida_0_0","Diadema (Terminal Metropolitano Piraporinha)",,"0",,"546279_ida"
"546279","0","546279_volta_0_0","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis)",,"1",,"546279_volta"
"546388","0","546388_volta_0_0","Aruja (Parque Rodrigo Barreto)",,"1",,"546388_volta"
"546388","0","546388_ida_0_0","Sao Paulo (Metro Bras)",,"0",,"546388_ida"
"546445","0","546445_ida_0_0","Sao Paulo (Pinheiros)",,"0",,"546445_ida"
"546445","0","546445_volta_0_0","Taboao da Serra (Jardim Monte Alegre)",,"1",,"546445_volta"
"546514","0","546514_volta_0_0","Taboao da Serra (Jardim Sao Judas Tadeu)",,"1",,"546514_volta"
"546514","0","546514_ida_0_0","Sao Paulo (Pinheiros)",,"0",,"546514_ida"
"547086","0","547086_ida_0_0","Sao Paulo (Fabrica Trol)",,"0",,"547086_ida"
"547086","0","547086_volta_0_0","Santo Andre (Terminal Metropolitano Santo Andre Leste)",,"1",,"547086_volta"
"547157","0","547157_volta_0_0","Maua (Silvia Maria)",,"1",,"547157_volta"
"547157","0","547157_ida_0_0","Santo Andre (Terminal Urbano de Prefeito Saladino)",,"0",,"547157_ida"
"547219","0","547219_volta_0_0","Sao Bernardo do Campo (Terminal Metropolitano Ferrazopolis)",,"1",,"547219_volta"
"547219","0","547219_ida_0_0","Sao Paulo (Glicerio)",,"0",,"547219_ida"
"547262","0","547262_ida_0_0","Sao Paulo (Saude)",,"0",,"547262_ida"
